id,Name,Team,Role
1,Wriddhiman Saha,1,Bat & Wk
2,Shubman Gill,1,Bat
3,Kane Williamson,1,Bat
4,Hardik Pandya,1,All
5,Vijay Shankar,1,All
6,Rahul Tewatia,1,All
7,Rashid Khan,1,Bowl
8,Alzarri Joseph,1,Bowl
9,Josh Little,1,Bowl
10,Mohammed Shami,1,Bowl
11,Yash Dayal,1,Bowl
12,MS Dhoni,9,Bat & Wk
13,Ruturaj Gaikwad,9,Bat
14,Moeen Ali,9,All
15,Ben Stokes,9,All
16,Ambati Rayudu,9,Bat
17,Ravindra Jadeja,9,All
18,Shivam Dube,9,All
19,Mitchell Santner,9,All
20,Deepak Chahar,9,Bowl
21,Devon Conway,9,Bat & Wk
22,Rajvardhan Hangargekar,9,Bowl
23,Prabhsimran Singh,6,Bat & Wk
24,Shikhar Dhawan,6,Bat
25,Bhanuka Rajapaksa,6,Bat
26,Sam Curran,6,All
27,Nathan Ellis,6,Bowl
28,Jitesh Sharma,6,Bat & Wk
29,Sikandar Raza,6,All
30,Shahrukh Khan,6,Bat
31,Harpreet Brar,6,All
32,Rahul Chahar,6,Bowl
33,Arshdeep Singh,6,Bowl
34,Rahmanullah Gurbaz,7,Bat & Wk
35,Mandeep Singh,7,Bat
36,Nitish Rana,7,All
37,Rinku Singh,7,Bat
38,Andre Russell,7,All
39,Sunil Narine,7,All
40,Tim Southee,7,Bowl
41,Umesh Yadav,7,Bowl
42,Shardul Thakur,7,Bowl
43,Varun Chakravarthy,7,Bowl
44,Anukul Roy,7,All
45,KL Rahul,3,Bat & Wk
46,Nicholas Pooran,3,Bat & Wk
47,Deepak Hooda,3,Bat
48,Ayush Badoni,3,All
49,Marcus Stoinis,3,All
50,Krunal Pandya,3,All
51,Kyle Mayers,3,All
52,Avesh Khan,3,Bowl
53,Mark Wood,3,Bowl
54,Ravi Bishnoi,3,Bowl
55,Jaydev Unadkat,3,Bowl
56,Sarfaraz Khan,5,Bat
57,David Warner,5,Bat
58,Prithvi Shaw,5,Bat
59,Rovman Powell,5,Bat
60,Rilee Rossouw,5,Bat
61,Mitchell Marsh,5,Bat
62,Axar Patel,5,All
63,Kuldeep Yadav,5,Bowl
64,Khaleel Ahmed,5,Bowl
65,Chetan Sakariya,5,Bowl
66,Mukesh Kumar,5,Bowl
67,Rahul Tripathi,8,Bat
68,Mayank Agarwal,8,Bat
69,Harry Brook,8,Bat
70,Glenn Phillips,8,Bat
71,Fazalhaq Farooqi,8,Bowl
72,Adil Rashid,8,Bowl
73,Washington Sundar,8,All
74,Abhishek Sharma,8,All
75,T Natarajan,8,Bowl
76,Bhuvneshwar Kumar,8,Bowl
77,Umran Malik,8,Bowl
78,Jos Buttler,2,Bat & Wk
79,Yashasvi Jaiswal,2,Bat
80,Sanju Samson,2,Bat & Wk
81,Devdutt Padikkal,2,Bat
82,Shimron Hetmyer,2,Bat
83,Riyan Parag,2,All
84,Jason Holder,2,All
