Match Number,Team id,Batter id,Runs,Balls,Fours,Sixes,Strike Rate,Out/Not
1,9,21,1,6,0,0,16.67,b M Shami
1,9,13,92,50,4,9,184.00,c Shubman Gill b Alzarri Joseph
1,9,14,23,17,4,1,135.29,c Wriddhiman Saha b Rashid Khan
1,9,15,7,6,1,0,116.67,c Wriddhiman Saha b Rashid Khan
1,9,16,12,12,0,1,100.00,b Josh Little
1,9,18,19,18,0,1,105.56,c Rashid Khan b M Shami
1,9,17,1,2,0,0,50.00,c Vijay Shankar b Alzarri Joseph
1,9,12,14,7,1,1,200.00,Not out
1,9,19,1,3,0,0,33.33,Not out
1,1,1,25,16,2,2,156.25,c S Dube b RS Hangargekar
1,1,2,63,36,6,3,175.00,c RD Gaikwad b TU Deshpande
1,1,115,22,17,3,0,129.41,c MS Dhoni b RS Hangargekar
1,1,4,8,11,0,0,72.73,b RA Jadeja
1,1,5,27,21,2,1,128.57,c Mitchell Santner b RS Hangargekar
1,1,6,15,14,1,1,107.14,Not out
1,1,7,10,3,1,1,333.33,Not out
2,6,23,23,12,2,2,191.67,c Rahmanullah Gurbaz b Tim Southee
2,6,24,40,29,6,0,137.93,b Varun Chakravarthy
2,6,25,50,32,5,2,156.25,c RK Singh b UT Yadav
2,6,28,21,11,1,2,190.91,c UT Yadav b Tim Southee
2,6,29,16,13,1,1,123.08,c N Rana b SP Narine
2,6,26,26,17,0,2,152.94,Not out
2,6,30,11,7,2,0,157.14,Not out
2,7,35,2,4,0,0,50.00,c Sam Curran b Arshdeep Singh
2,7,34,22,16,3,1,137.50,b Nathan Ellis
2,7,44,4,5,1,0,80.00,c Sikandar Raza b Arshdeep Singh
2,7,135,34,28,3,1,121.43,c RD Chahar b Arshdeep Singh
2,7,36,24,17,3,1,141.18,c RD Chahar b Sikandar Raza
2,7,37,4,4,0,0,100.00,c Sikandar Raza b RD Chahar
2,7,38,35,19,3,2,184.21,c Sikandar Raza b Sam Curran
2,7,42,8,3,0,1,266.67,Not out
2,7,39,7,2,0,1,350.00,Not out
3,3,45,8,12,0,1,66.67,c Axar Patel b C Sakariya
3,3,51,73,38,2,7,192.11,b Axar Patel
3,3,47,17,18,0,0,94.44,c David Warner b KL Yadav
3,3,50,15,13,0,1,115.38,Not out
3,3,49,12,10,0,1,120.00,c SN Khan b KK Ahmed
3,3,46,36,21,2,3,171.43,c P Shaw b KK Ahmed
3,3,48,18,7,1,2,257.14,c SN Khan b C Sakariya
3,3,186,6,1,0,1,600.00,Not out
3,5,58,12,9,2,0,133.33,b Mark Wood
3,5,57,56,48,7,0,116.67,c Krishnappa Gowtham b Avesh Khan
3,5,61,0,1,0,0,0.00,b Mark Wood
3,5,56,4,9,1,0,44.44,c Krishnappa Gowtham b Mark Wood
3,5,60,30,20,3,1,150.00,c Kyle Mayers b Ravi Bishnoi
3,5,59,1,3,0,0,33.33,lbw b Ravi Bishnoi
3,5,113,4,5,0,0,80.00,c Nicholas Pooran b Avesh Khan
3,5,62,16,11,1,1,145.45,c (sub PN Mankad) b Mark Wood
3,5,63,6,10,0,0,60.00,Not out
3,5,65,4,4,1,0,100.00,c KH Pandya b Mark Wood
3,5,66,0,1,0,0,0.00,Not out
4,2,79,54,37,9,0,145.95,c Mayank Agarwal b Fazalhaq Farooqi
4,2,78,54,22,7,3,245.45,b Fazalhaq Farooqi
4,2,80,55,32,3,4,171.88,c Abhishek Sharma b T Natarajan
4,2,81,2,5,0,0,40.00,b Umran Malik
4,2,83,7,6,1,0,116.67,c Fazalhaq Farooqi b T Natarajan
4,2,82,22,16,1,1,137.50,Not out
4,2,86,1,2,0,0,50.00,Not out
4,8,74,0,3,0,0,0.00,b Trent Boult
4,8,68,27,23,3,0,117.39,c Jos Buttler b Yuzvendra Chahal
4,8,67,0,2,0,0,0.00,c Jason Holder b Trent Boult
4,8,69,13,21,1,0,61.90,b Yuzvendra Chahal
4,8,73,1,5,0,0,20.00,c Shimron Hetmyer b Jason Holder
4,8,70,8,6,0,1,133.33,c KM Asif b Ravichandran Ashwin
4,8,123,32,32,2,1,100.00,Not out
4,8,72,18,13,1,1,138.46,st SV Samson b Yuzvendra Chahal
4,8,76,6,10,0,0,60.00,b Yuzvendra Chahal
4,8,77,19,8,1,2,237.50,Not out
5,10,101,1,10,0,0,10.00,c Dinesh Karthik b Akash Deep
5,10,100,10,13,2,0,76.92,c HV Patel b Mohammed Siraj
5,10,106,5,4,1,0,125.00,b RJW Topley
5,10,102,15,16,1,0,93.75,c Shahbaz Ahmed b Michael Bracewell
5,10,104,84,46,9,4,182.61,Not out
5,10,105,21,13,1,2,161.54,c Virat Kohli b KV Sharma
5,10,103,4,7,0,0,57.14,b KV Sharma
5,10,107,5,3,1,0,166.67,c F du Plessis b HV Patel
5,10,110,15,9,0,1,166.67,Not out
5,4,90,82,49,6,5,167.35,Not out
5,4,91,73,43,5,6,169.77,c Tim David b Arshad Khan
5,4,89,0,3,0,0,0.00,c Tilak Varma b C Green
5,4,92,12,3,0,2,400.00,Not out
6,9,13,57,31,3,4,183.87,c Mark Wood b Ravi Bishnoi
6,9,21,47,29,5,2,162.07,c KH Pandya b Mark Wood
6,9,18,27,16,1,3,168.75,c Mark Wood b Ravi Bishnoi
6,9,14,19,13,3,0,146.15,st Nicholas Pooran b Ravi Bishnoi
6,9,15,8,8,1,0,100.00,c YS Thakur b Avesh Khan
6,9,16,27,14,2,2,192.86,Not out
6,9,17,3,6,0,0,50.00,c Ravi Bishnoi b Mark Wood
6,9,12,12,3,0,2,400.00,c Ravi Bishnoi b Mark Wood
6,9,19,1,1,0,0,100.00,Not out
6,3,45,20,18,2,0,111.11,c RD Gaikwad b Moeen Ali
6,3,51,53,22,8,2,240.91,c Devon Conway b Moeen Ali
6,3,47,2,6,0,0,33.33,c Ben Stokes b Mitchell Santner
6,3,50,9,9,0,1,100.00,c RA Jadeja b Moeen Ali
6,3,49,21,18,0,1,116.67,b Moeen Ali
6,3,46,32,18,2,3,177.78,c Ben Stokes b TU Deshpande
6,3,48,23,18,0,0,127.78,c MS Dhoni b TU Deshpande
6,3,186,17,11,0,1,154.55,Not out
6,3,53,10,3,1,1,333.33,Not out
7,5,57,37,32,7,0,115.63,b Alzarri Joseph
7,5,58,7,5,1,0,140.00,c Alzarri Joseph b M Shami
7,5,61,4,4,1,0,100.00,b M Shami
7,5,56,30,34,2,0,88.24,c Josh Little b Rashid Khan
7,5,60,0,1,0,0,0.00,c R Tewatia b Alzarri Joseph
7,5,112,20,11,0,2,181.82,b Rashid Khan
7,5,62,36,22,2,3,163.64,c David Miller b M Shami
7,5,113,8,8,0,1,100.00,c HH Pandya b Rashid Khan
7,5,63,1,1,0,0,100.00,Not out
7,5,114,4,2,1,0,200.00,Not out
7,1,1,14,7,2,1,200.00,b Anrich Nortje
7,1,2,14,13,3,0,107.69,b Anrich Nortje
7,1,115,62,48,4,2,129.17,Not out
7,1,4,5,4,1,0,125.00,c Abishek Porel b KK Ahmed
7,1,5,29,23,3,0,126.09,lbw b MR Marsh
7,1,116,31,16,2,2,193.75,Not out
8,6,23,60,34,7,3,176.47,c Jos Buttler b Jason Holder
8,6,24,86,56,9,3,153.57,Not out
8,6,25,1,1,0,0,100.00,Retired hurt
8,6,28,27,16,2,1,168.75,c R Parag b Yuzvendra Chahal
8,6,29,1,2,0,0,50.00,b Ravichandran Ashwin
8,6,30,11,10,1,0,110.00,c Jos Buttler b Jason Holder
8,6,26,1,2,0,0,50.00,Not out
8,2,79,11,8,1,1,137.50,c (sub MW Short) b Arshdeep Singh
8,2,86,0,4,0,0,0.00,c Shikhar Dhawan b Arshdeep Singh
8,2,78,19,11,1,1,172.73,c & b Nathan Ellis
8,2,80,42,25,5,1,168.00,c (sub MW Short) b Nathan Ellis
8,2,81,21,26,1,0,80.77,b Nathan Ellis
8,2,83,20,12,1,2,166.67,c Shahrukh Khan b Nathan Ellis
8,2,82,36,18,1,3,200.00,runout (Sam Curran / Shahrukh Khan)
8,2,124,32,15,3,2,213.33,Not out
8,2,84,1,1,0,0,100.00,Not out
9,7,34,57,44,6,3,129.55,c Akash Deep b KV Sharma
