Match Number,Team id,Bowler id,Overs,Maidens,Runs,Wickets,Economy,Extras
1,1,10,4,0,29,2,7.25,1
1,1,4,3,0,28,0,9.33,0
1,1,9,4,0,41,1,10.25,0
1,1,7,4,0,26,2,6.50,0
1,1,8,4,0,33,2,8.25,0
1,1,11,1,0,14,0,14.00,0
1,9,20,4,0,29,0,7.25,0
1,9,133,3.2,0,51,1,15.30,2
1,9,22,4,0,36,3,9.00,4
1,9,19,4,0,32,0,8.00,0
1,9,17,4,0,28,1,7.00,0
2,7,41,4,0,27,1,6.75,0
2,7,40,4,0,54,2,13.50,0
2,7,39,4,0,40,1,10.00,1
2,7,43,4,0,26,1,6.50,1
2,7,42,4,0,43,0,10.75,1
2,6,26,3,0,38,1,12.67,0
2,6,33,3,0,19,3,6.33,0
2,6,27,3,0,27,1,9.00,2
2,6,29,3,0,25,1,8.33,1
2,6,152,1,0,15,0,15.00,0
2,6,32,2,0,12,1,6.00,0
2,6,31,1,0,7,0,7.00,0
3,5,64,4,0,30,2,7.50,1
3,5,66,4,0,34,0,8.50,1
3,5,65,4,0,53,2,13.25,3
3,5,62,4,0,38,1,9.50,0
3,5,63,4,0,35,1,8.75,0
3,3,51,1,0,7,0,7.00,1
3,3,55,3,0,39,0,13.00,2
3,3,186,4,0,23,0,5.75,1
3,3,52,4,0,29,2,7.25,0
3,3,53,4,0,14,5,3.50,2
3,3,54,4,0,31,2,7.75,0
4,8,76,3,0,36,0,12.00,1
4,8,71,4,0,41,2,10.25,0
4,8,73,3,0,32,0,10.67,0
4,8,75,3,0,23,2,7.67,0
4,8,72,4,0,33,0,8.25,0
4,8,77,3,0,32,1,10.67,1
4,2,85,4,1,21,2,5.25,0
4,2,87,3,0,15,0,5.00,1
4,2,84,3,0,16,1,5.33,0
4,2,86,4,0,27,1,6.75,2
4,2,88,4,0,17,4,4.25,0
4,2,207,2,0,34,0,17.00,3
5,4,96,4,0,21,1,5.25,6
5,4,97,2,0,14,1,7.00,0
5,4,99,3,0,29,1,9.67,0
5,4,95,4,0,43,1,10.75,2
5,4,98,4,0,32,2,8.00,1
5,4,93,2,0,16,1,8.00,0
5,4,92,1,0,16,0,16.00,1
5,10,129,3,0,37,0,12.33,0
5,10,110,2.2,0,28,1,12.00,4
5,10,108,4,0,33,0,8.25,0
5,10,109,4,0,26,0,6.50,0
5,10,106,2,0,30,1,15.00,0
5,10,107,1,0,17,0,17.00,0
6,3,51,2,0,16,0,8.00,1
6,3,52,3,0,39,1,13.00,1
6,3,50,2,0,21,0,10.50,0
6,3,186,1,0,20,0,20.00,0
6,3,53,4,0,49,3,12.25,0
6,3,111,4,0,36,0,9.00,1
6,3,54,4,0,28,3,7.00,1
6,9,20,4,0,55,0,13.75,5
6,9,15,1,0,18,0,18.00,0
6,9,133,4,0,45,2,11.25,7
6,9,14,4,0,26,4,6.50,1
6,9,19,4,0,21,1,5.25,0
6,9,22,2,0,24,0,12.00,3
6,9,17,1,0,14,0,14.00,0
7,1,10,4,0,41,3,10.25,4
7,1,9,4,0,27,0,6.75,0
7,1,4,3,0,18,0,6.00,0
7,1,8,4,0,29,2,7.25,1
7,1,11,1,0,12,0,12.00,0
7,1,7,4,0,31,3,7.75,0
7,5,64,4,0,38,1,9.50,1
7,5,66,4,0,42,0,10.50,1
7,5,114,4,0,39,2,9.75,2
7,5,61,3.1,0,24,1,7.58,1
7,5,63,3,0,18,0,6.00,1
8,2,85,4,0,38,0,9.50,1
8,2,87,4,0,54,0,13.50,4
8,2,86,4,0,25,1,6.25,1
8,2,84,4,0,29,2,7.25,0
8,2,88,4,0,50,1,12.50,1
8,6,26,4,0,44,0,11.00,0
8,6,33,4,0,47,2,11.75,3
8,6,31,2,0,15,0,7.50,0
8,6,27,4,0,30,4,7.50,0
8,6,32,4,0,31,0,7.75,0
8,6,29,2,0,24,0,12.00,2
9,4,96,4,0,44,1,11.00,4
9,4,118,4,1,16,2,4.00,1
9,4,99,2,0,30,0,15.00,3
9,4,93,3,0,34,1,11.33,0
9,4,94,1,0,6,0,6.00,0
9,4,98,3,0,26,2,8.67,0
9,4,95,3,0,38,1,12.67,1
9,7,41,2,0,17,0,8.50,0
9,7,40,2,0,25,0,12.50,0
9,7,39,4,0,16,2,4.00,0
9,7,43,3.4,0,15,4,4.09,0
9,7,117,4,0,30,3,7.50,1
9,7,42,2,0,15,1,7.50,0
10,3,51,1,0,5,0,5.00,0
10,3,55,3,0,26,0,8.67,1
10,3,50,4,0,18,3,4.50,0
10,3,111,3,0,23,1,7.67,0
10,3,54,4,0,16,1,4.00,1
10,3,47,1,0,8,0,8.00,0
10,3,120,4,0,23,2,5.75,0
10,8,76,2,0,19,1,9.50,1
10,8,73,1,0,11,0,11.00,0
10,8,71,3,0,13,1,4.33,1
10,8,121,2,0,14,0,7.00,0
10,8,72,3,0,23,2,7.67,0
10,8,75,3,0,23,0,7.67,1
10,8,77,2,0,22,1,11.00,2
11,5,64,2,0,31,0,15.50,2
11,5,114,4,0,44,0,11.00,0
11,5,66,4,0,36,2,9.00,0
11,5,62,4,0,38,0,9.50,0
11,5,63,4,0,31,1,7.75,0
11,5,59,2,0,18,1,9.00,2
11,2,85,4,1,29,3,7.25,0
11,2,125,4,0,20,1,5.00,1
11,2,86,4,0,25,2,6.25,3
11,2,84,3,0,28,0,9.33,1
11,2,88,4,0,27,3,6.75,2
11,2,199,1,0,11,0,11.00,1
12,9,20,1,0,10,0,10.00,0
12,9,133,3,0,31,2,10.33,1
12,9,132,4,0,37,1,9.25,0
12,9,19,4,0,28,2,7.00,0
12,9,17,4,0,20,3,5.00,0
12,9,131,4,0,28,0,7.00,4
12,10,129,3,0,24,1,8.00,1
12,10,110,2.1,0,35,0,16.15,3
12,10,106,3,0,20,0,6.67,1
12,10,109,4,0,33,1,8.25,0
12,10,179,4,0,24,1,6.00,0
12,10,107,2,0,19,0,9.50,0
13,7,41,3,0,24,0,8.00,1
13,7,42,3,0,40,0,13.33,1
13,7,136,4,0,40,0,10.00,2
13,7,39,4,0,33,3,8.25,1
13,7,43,2,0,27,0,13.50,1
13,7,117,4,0,35,1,8.75,1
13,1,10,4,0,28,1,7.00,0
13,1,9,4,0,45,1,11.25,3
13,1,8,4,0,27,2,6.75,0
13,1,11,4,0,69,0,17.25,0
13,1,7,4,0,37,3,9.25,0
14,8,76,4,0,33,1,8.25,3
14,8,138,3,1,16,2,5.33,1
14,8,75,4,0,40,0,10.00,0
14,8,73,1,0,6,0,6.00,0
14,8,139,4,0,15,4,3.75,0
14,8,77,4,0,32,2,8.00,1
14,6,26,3,0,14,0,4.67,0
14,6,33,3,0,20,1,6.67,0
14,6,31,3.1,0,26,0,8.21,0
14,6,27,3,0,28,0,9.33,0
14,6,32,3,0,28,1,9.33,0
14,6,140,2,0,29,0,14.50,0
15,3,55,2,0,27,0,13.50,1
15,3,52,4,0,53,0,13.25,0
15,3,50,4,0,35,0,8.75,0
15,3,53,4,1,32,1,8.00,2
15,3,54,4,0,39,0,9.75,1
15,3,120,2,0,18,1,9.00,0
15,4,96,4,0,22,3,5.50,4
15,4,118,4,0,32,0,8.00,1
15,4,144,4,0,41,3,10.25,3
15,4,95,4,0,48,2,12.00,0
15,4,98,3,0,48,1,16.00,1
15,4,94,1,0,15,0,15.00,0
16,10,129,3,0,23,3,7.67,0
16,10,110,1,0,12,0,12.00,1
16,10,106,3,0,30,0,10.00,1
16,10,107,4,0,43,1,10.75,2
16,10,147,3.4,0,34,2,9.27,1
16,10,109,4,0,22,3,5.50,0
16,10,104,1,0,7,0,7.00,1
16,5,66,2,0,30,2,15.00,0
16,5,146,4,0,38,1,9.50,0
16,5,114,4,0,35,0,8.75,0
16,5,126,4,0,23,0,5.75,1
16,5,62,4,0,20,0,5.00,1
16,5,63,2,0,23,0,11.50,0
17,9,149,4,0,40,2,10.00,1
17,9,133,4,0,37,2,9.25,1
17,9,148,4,0,42,0,10.50,0
17,9,17,4,0,21,2,5.25,3
17,9,14,2,0,21,1,10.50,0
17,9,132,2,0,14,0,7.00,1
17,2,125,3,0,30,1,10.00,2
17,2,150,2,0,8,0,4.00,0
17,2,84,3,0,37,0,12.33,1
17,2,161,4,0,43,1,10.75,1
17,2,86,4,0,25,2,6.25,2
17,2,88,4,0,27,2,6.75,1
18,1,10,4,0,44,1,11.00,1
18,1,9,4,0,31,1,7.75,3
18,1,8,4,0,32,1,8.00,5
18,1,7,4,0,26,1,6.50,0
18,1,153,4,0,18,2,4.50,0
18,6,33,4,0,33,1,8.25,0
18,6,151,4,0,36,1,9.00,0
18,6,31,4,0,20,1,5.00,0
18,6,26,3.5,0,25,1,6.52,0
18,6,32,3,0,24,0,8.00,0
18,6,141,1,0,8,0,8.00,0
19,7,41,3,0,42,0,14.00,1
19,7,136,2,0,37,0,18.50,2
19,7,39,4,0,28,0,7.00,2
19,7,38,2.1,0,22,3,10.15,2
19,7,43,4,0,41,1,10.25,1
19,7,117,4,0,44,0,11.00,0
19,7,42,0.5,0,14,0,16.80,0
19,8,76,4,1,29,1,7.25,1
19,8,138,4,0,37,2,9.25,6
19,8,75,4,0,54,1,13.50,1
19,8,77,2,0,36,1,18.00,0
19,8,139,4,0,27,2,6.75,0
19,8,73,2,0,20,0,10.00,0
20,5,114,4,0,31,0,7.75,3
20,5,62,3,0,25,1,8.33,0
20,5,146,3,0,41,0,13.67,0
20,5,61,2,0,18,2,9.00,0
20,5,126,4,0,29,1,7.25,1
20,5,63,4,1,23,2,5.75,0
20,4,96,4,0,23,2,5.75,0
20,4,144,4,0,28,1,7.00,0
20,4,163,4,0,20,3,5.00,0
20,4,94,1,0,11,0,11.00,0
20,4,154,3,0,37,1,12.33,0
20,4,95,4,0,32,1,8.00,3
21,6,141,2,0,10,0,5.00,0
21,6,33,3,0,22,1,7.33,1
21,6,151,4,0,34,2,8.50,2
21,6,26,4,0,31,3,7.75,2
21,6,31,2,0,10,1,5.00,0
21,6,29,2,0,19,1,9.50,1
21,6,32,3,0,28,0,9.33,1
21,3,155,3,0,19,2,6.33,0
21,3,52,3,0,24,0,8.00,1
21,3,53,4,0,35,2,8.75,2
21,3,186,4,0,31,1,7.75,1
21,3,50,3,0,32,1,10.67,0
21,3,54,2.3,0,18,2,7.20,1
22,10,158,2,0,17,0,8.50,1
22,10,106,2,0,20,1,10.00,2
22,10,159,4,0,53,1,13.25,4
22,10,109,4,0,19,1,4.75,0
22,10,107,4,0,34,2,8.50,1
22,10,147,4,0,40,1,10.00,0
22,7,41,2,0,19,0,9.50,0
22,7,42,2,0,25,1,12.50,1
22,7,39,3,0,41,0,13.67,1
22,7,117,4,0,27,2,6.75,0
22,7,43,4,0,38,1,9.50,1
22,7,136,1.4,0,19,1,11.40,0
22,7,38,1,0,17,0,17.00,0
23,2,85,4,0,46,1,11.50,2
23,2,125,4,0,25,2,6.25,1
23,2,161,4,0,32,1,8.00,0
23,2,86,4,0,37,0,9.25,0
23,2,88,4,0,36,1,9.00,1
23,1,10,4,1,25,3,6.25,1
23,1,4,4,0,24,1,6.00,0
23,1,8,3,0,47,0,15.67,0
23,1,7,4,0,46,2,11.50,0
23,1,153,2,0,7,0,3.50,0
23,1,175,2.2,0,29,1,12.43,1
24,4,96,4,0,30,1,7.50,1
24,4,144,4,0,48,1,12.00,0
24,4,163,4,0,62,1,15.50,0
24,4,92,2.4,0,28,1,10.50,1
24,4,154,2,0,21,1,10.50,0
24,4,95,3.2,0,36,1,10.80,4
24,9,149,3,0,35,1,11.67,0
24,9,133,4,0,45,3,11.25,3
24,9,148,4,0,41,1,10.25,1
24,9,17,4,0,37,0,9.25,0
24,9,164,4,0,42,2,10.50,2
24,9,14,1,0,13,1,13.00,0
25,8,76,4,0,31,1,7.75,0
25,8,138,4,0,43,2,10.75,1
25,8,73,4,0,33,0,8.25,0
25,8,75,4,0,50,1,12.50,0
25,8,139,4,0,35,0,8.75,1
25,10,158,2.5,0,18,1,6.35,3
25,10,129,4,0,37,2,9.25,1
25,10,147,4,0,33,2,8.25,3
25,10,107,1,0,12,0,12.00,0
25,10,109,4,0,43,2,10.75,0
25,10,106,4,0,29,1,7.25,1
26,2,85,4,1,16,1,4.00,0
26,2,125,4,0,32,1,8.00,1
26,2,86,4,0,23,2,5.75,1
26,2,88,4,0,41,0,10.25,0
26,2,84,4,0,38,1,9.50,0
26,3,165,4,0,19,0,4.75,1
26,3,155,2,0,27,0,13.50,1
26,3,52,4,0,25,3,6.25,0
26,3,49,4,0,28,2,7.00,0
26,3,54,4,0,25,0,6.25,1
26,3,120,2,0,15,0,7.50,0
27,6,33,4,0,34,1,8.50,1
27,6,31,3,0,31,2,10.33,0
27,6,27,4,0,41,1,10.25,1
27,6,26,4,0,27,0,6.75,1
27,6,32,4,0,24,0,6.00,0
27,6,166,1,0,9,0,9.00,0
27,4,96,4,0,21,4,5.25,0
27,4,144,3,0,32,1,10.67,0
27,4,154,4,0,39,2,9.75,0
27,4,163,3,0,29,0,9.67,1
27,4,92,1,0,5,0,5.00,0
27,4,95,3.2,0,22,1,6.60,2
28,5,167,4,0,19,2,4.75,1
28,5,66,4,0,34,1,8.50,4
28,5,114,4,0,20,2,5.00,2
28,5,62,3,0,13,2,4.33,0
28,5,61,2,0,25,0,12.50,2
28,5,63,3,0,15,2,5.00,1
28,7,41,1,0,6,0,6.00,0
28,7,171,1.2,0,20,0,15.00,1
28,7,38,1,0,12,0,12.00,1
28,7,39,4,0,36,0,9.00,1
28,7,43,4,1,16,2,4.00,0
28,7,44,4,0,19,2,4.75,2
