Match Number,Team id,Extras,Byes,Leg Byes,No Balls,Wides
1,1,8,1,6,1,0
1,9,12,0,6,2,4
2,7,4,0,1,1,2
2,6,6,2,1,2,1
3,5,8,1,2,0,5
3,3,10,0,0,1,9
4,8,8,5,1,0,2
4,2,7,0,1,3,3
5,4,11,0,0,1,10
5,10,5,0,1,0,4
6,3,16,4,4,1,7
6,9,18,0,2,3,13
7,1,15,0,4,0,11
7,5,8,1,1,2,4
8,2,10,1,0,1,8
8,6,10,1,0,0,9
9,4,23,4,6,3,10
9,7,6,4,1,0,1
10,3,4,1,1,0,2
10,8,17,2,0,0,15
11,5,6,0,1,1,4
11,2,10,0,2,1,7
12,9,8,1,2,0,5
12,10,10,0,4,0,6
13,7,16,1,4,1,10
13,1,4,0,1,0,3
14,8,6,0,1,0,5
14,6,0,0,0,0,0
15,3,12,0,8,0,4
15,4,16,1,6,0,9
16,10,11,0,1,2,8
16,5,6,0,4,0,2
17,9,10,0,0,0,10
17,2,10,0,2,0,8
18,1,11,0,2,0,9
18,6,8,0,8,0,0
19,7,12,0,0,1,11
19,8,10,0,2,2,6
20,5,11,1,6,1,3
20,4,3,0,0,0,3
21,6,12,0,5,1,6
21,3,7,0,2,0,5
22,10,14,0,2,0,12
22,7,4,0,0,0,4
23,2,5,0,1,0,4
23,1,3,0,1,0,2
24,4,7,0,1,2,4
24,9,11,0,5,0,6
25,8,2,0,0,0,2
25,10,19,1,5,0,13
26,2,6,0,4,1,1
26,3,12,1,4,1,6
27,6,12,0,8,1,3
27,4,5,1,1,1,2
28,5,12,0,1,0,11
28,7,7,0,2,2,3
29,9,4,0,2,0,2
29,8,2,0,2,0,0
30,3,1,0,1,0,0
30,1,2,0,1,0,1
31,10,12,0,3,2,7
31,6,3,0,0,0,3
32,2,13,0,3,0,10
32,4,11,1,3,0,7
33,7,3,0,0,1,2
33,9,10,0,1,0,9
34,8,4,0,2,0,2
34,5,1,0,0,1,0
35,10,5,0,0,0,5
35,1,5,4,0,0,1
36,4,7,0,2,0,5
36,7,6,0,3,0,3
37,9,11,4,3,0,4
37,2,2,0,1,0,1
38,6,15,0,6,4,5
38,3,13,0,4,2,7
39,1,3,0,0,0,3
39,7,12,0,9,0,3
40,5,10,0,1,1,8
40,8,4,0,1,0,3
41,6,8,0,1,0,7
41,9,13,0,7,0,6
42,10,25,1,7,1,16
42,2,10,0,2,1,7
43,3,2,0,0,0,2
43,4,7,1,1,2,3
44,1,5,0,1,1,3
44,5,5,0,0,0,5
45,9,6,0,0,0,6
45,3,,,,,
46,10,17,0,5,2,10
46,6,7,4,0,0,3
47,8,8,0,1,2,5
47,7,14,1,6,3,4
48,1,8,0,1,0,7
48,2,3,0,2,1,0
49,9,8,0,5,0,3
49,10,5,0,2,1,2
50,5,8,0,2,0,6
50,4,9,4,2,1,2
51,3,6,0,1,1,4
51,1,8,0,3,0,5
52,8,11,1,5,0,5
52,2,5,0,0,1,4
53,7,13,4,3,2,4
53,6,4,0,1,0,3
54,10,4,0,1,1,2
54,4,14,0,6,2,6
55,5,15,1,4,0,10
55,9,11,0,6,0,5
56,2,3,0,2,0,1
56,7,5,1,1,0,3
57,1,2,0,2,0,0
57,10,6,0,3,0,3
58,3,5,0,2,1,2
58,8,6,0,1,0,5
59,5,13,0,2,0,11
59,6,4,0,1,0,3
60,2,5,0,0,0,5
60,4,3,0,1,0,2
61,7,6,0,0,2,4
61,9,12,0,1,1,10
62,8,13,1,0,2,10
62,1,9,0,4,0,5
63,10,10,0,5,0,5
63,3,15,4,1,2,8
64,6,5,0,0,0,5
64,5,10,0,6,2,2
65,4,6,1,0,0,5
65,8,7,2,0,1,4
66,2,6,0,0,1,5
66,6,9,0,1,1,7
67,5,10,0,1,2,7
67,9,11,0,3,0,8
68,7,12,4,1,2,5
68,3,9,0,4,0,5
69,10,12,0,5,1,6
69,8,6,0,1,4,1
70,1,7,0,2,0,5
70,4,19,5,6,1,7
71,1,5,1,2,2,0
71,9,15,0,2,0,13
72,3,16,8,2,0,6
72,10,10,2,5,0,3
73,10,10,0,2,2,6
73,1,7,0,2,1,4
74,9,4,1,1,0,2
74,1,5,0,1,0,4
