Match Number,Team id,Batter id,Wicket Number,Score,Over
1,9,21,1,14,2.2
1,9,14,2,50,5.5
1,9,15,3,70,7.4
1,9,16,4,121,12.5
1,9,13,5,151,17.1
1,9,17,6,153,17.4
1,9,18,7,163,18.3
1,1,1,1,37,3.5
1,1,115,2,90,9.3
1,1,4,3,111,12.1
1,1,2,4,138,14.6
1,1,5,5,156,17.6
2,6,23,1,23,1.6
2,6,25,2,109,10.6
2,6,28,3,135,13.3
2,6,24,4,143,14.3
2,6,29,5,168,17.5
2,7,35,1,13,1.1
2,7,44,2,17,1.6
2,7,34,3,29,4.2
2,7,36,4,75,9.2
2,7,37,5,80,10.1
2,7,38,6,130,14.5
2,7,135,7,138,15.3
3,3,45,1,19,3.6
3,3,47,2,98,10.6
3,3,51,3,100,11.3
3,3,49,4,117,14.1
3,3,46,5,165,18.3
3,3,48,6,187,19.5
3,5,58,1,41,4.3
3,5,61,2,41,4.4
3,5,56,3,48,6.6
3,5,60,4,86,11.6
3,5,59,5,94,13.4
3,5,113,6,112,15.3
3,5,57,7,113,15.6
3,5,62,8,139,19.1
3,5,65,9,143,19.5
4,2,78,1,85,5.5
4,2,79,2,139,12.3
4,2,81,3,151,14.1
4,2,83,4,170,16.1
4,2,80,5,187,18.3
4,8,74,1,0,0.3
4,8,67,2,0,0.5
4,8,69,3,34,6.6
4,8,73,4,39,8.2
4,8,70,5,48,9.3
4,8,68,6,52,10.6
4,8,72,7,81,13.6
4,8,76,8,95,17.5
5,10,100,1,11,2.3
5,10,106,2,16,3.3
5,10,101,3,20,5.2
5,10,102,4,48,8.5
5,10,105,5,98,13.5
5,10,103,6,105,15.3
5,10,107,7,123,17.1
5,4,91,1,148,14.5
5,4,89,2,149,15.3
6,9,13,1,110,9.1
6,9,21,2,118,10.2
6,9,18,3,150,13.5
6,9,14,4,166,15.2
6,9,15,5,178,16.6
6,9,17,6,203,19.1
6,9,12,7,215,19.4
6,3,51,1,79,5.3
6,3,47,2,82,6.6
6,3,45,3,82,7.2
6,3,50,4,105,9.6
6,3,49,5,130,13.2
6,3,46,6,156,15.6
6,3,48,7,195,19.3
7,5,58,1,29,2.4
7,5,61,2,37,4.2
7,5,57,3,67,8.2
7,5,60,4,67,8.3
7,5,112,5,101,12.2
7,5,56,6,130,16.2
7,5,113,7,148,18.4
7,5,62,8,158,19.4
7,1,1,1,22,2.1
7,1,2,2,36,4.1
7,1,4,3,54,5.6
7,1,5,4,107,13.2
8,6,23,1,90,9.4
8,6,28,2,158,15.4
8,6,29,3,159,16.1
8,6,30,4,196,19.4
8,2,79,1,13,1.3
8,2,86,2,26,3.2
8,2,78,3,57,5.4
8,2,80,4,91,10.6
8,2,83,5,121,14.1
8,2,81,6,124,14.6
8,2,82,7,186,19.3
9,7,135,1,26,3.2
9,7,35,2,26,3.3
9,7,36,3,47,6.1
9,7,34,4,89,11.2
9,7,38,5,89,11.3
9,7,37,6,192,18.6
9,7,42,7,198,19.4
