Match Number,Match Date,Match Venue,Team 1,Team 1 Runs,Team 1 Wickets,Team 1 Overs,Team 2,Team 2 Runs,Team 2 Wickets,Team 2 Overs,Winner,Home Team,Result,Man of the Match
1,2023-03-31,1,9,178,7,20.0,1,182,5,19.2,1,1,by 5 wickets,7
2,2023-04-01,6,6,191,5,20.0,7,146,7,16.0,6,6,by 7 runs (DLS Method),33
3,2023-04-01,3,3,193,6,20.0,5,143,9,20.0,3,3,by 50 runs,53
4,2023-04-02,8,2,203,5,20.0,8,131,8,20.0,2,8,by 72 runs,78
5,2023-04-02,4,10,171,7,20.0,4,172,2,16.2,4,4,by 8 wickets,91
6,2023-04-03,9,9,217,7,20.0,3,205,7,20.0,9,9,by 12 runs,14
7,2023-04-04,5,5,162,8,20.0,1,163,4,18.1,1,5,by 6 wickets,115
8,2023-04-05,11,6,197,4,20.0,2,192,7,20.0,6,,by 5 runs,27
9,2023-04-06,7,7,204,7,20.0,4,123,10,17.4,7,7,by 81 runs,42
10,2023-04-07,3,8,121,8,20.0,3,127,5,16.0,3,3,by 5 wickets,50
11,2023-04-08,11,2,199,4,20.0,5,142,9,20.0,2,,by 57 runs,79
12,2023-04-08,10,10,157,8,20.0,9,159,3,18.1,9,10,by 7 wickets,17
13,2023-04-09,1,1,204,4,20.0,7,207,7,20.0,7,1,by 3 wickets,37
14,2023-04-09,8,6,143,9,20.0,8,145,2,17.1,8,8,by 8 wickets,24
15,2023-04-10,4,4,212,2,20.0,3,213,9,20.0,3,4,by 1 wickets,46
16,2023-04-11,5,5,172,10,19.4,10,173,4,20.0,10,5,by 6 wickets,101
17,2023-04-12,9,2,175,8,20.0,9,172,6,20.0,2,9,by 3 runs,86
18,2023-04-13,6,6,153,8,20.0,1,154,4,19.5,1,6,by 6 wickets,153
19,2023-04-14,7,8,228,4,20.0,7,205,7,20.0,8,7,by 23 runs,69
20,2023-04-15,4,4,174,6,20.0,5,151,9,20.0,4,4,by 23 runs,90
21,2023-04-15,3,3,159,8,20.0,6,161,8,19.3,6,3,by 2 wickets,29
22,2023-04-16,10,7,185,6,20.0,10,186,5,17.4,10,10,by 5 wickets,135
23,2023-04-16,1,1,177,7,20.0,2,179,7,19.2,2,1,by 3 wickets,82
24,2023-04-17,4,9,226,6,20.0,4,218,8,20.0,9,4,by 8 runs,21
25,2023-04-18,8,10,192,5,20.0,8,178,10,19.5,10,8,by 14 runs,106
26,2023-04-19,2,3,154,7,20.0,2,144,6,20.0,3,2,by 10 runs,49
27,2023-04-20,6,4,174,4,20.0,6,150,10,18.2,4,6,by 24 runs,96
28,2023-04-20,5,7,127,10,20.0,5,128,6,19.2,5,5,by 4 wickets,167
29,2023-04-21,9,8,134,7,20.0,9,138,3,18.4,9,9,by 7 wickets,17
30,2023-04-22,3,1,135,6,20.0,3,128,7,20.0,1,3,by 7 runs,153
31,2023-04-22,10,6,214,8,20.0,10,201,6,20.0,6,10,by 13 runs,26
32,2023-04-23,4,4,189,9,20.0,2,182,6,20.0,4,4,by 7 runs,92
33,2023-04-23,7,9,235,4,20.0,7,186,8,20.0,9,7,by 49 runs,130
34,2023-04-24,8,5,144,9,20.0,8,137,6,20.0,5,8,by 7 runs,62
35,2023-04-25,1,1,207,6,20.0,10,152,9,20.0,1,1,by 55 runs,160
36,2023-04-26,4,7,200,5,20.0,4,179,8,20.0,7,4,by 21 runs,43
37,2023-04-27,2,2,202,5,20.0,9,170,6,20.0,2,2,by 32 runs,79
38,2023-04-28,6,3,257,5,20.0,6,201,10,19.5,3,6,by 56 runs,49
39,2023-04-29,7,7,179,7,20.0,1,180,3,17.5,1,7,by 7 wickets,9
40,2023-04-29,5,8,197,6,20.0,5,188,6,20.0,8,5,by 9 runs,61
41,2023-04-30,9,9,200,4,20.0,6,201,6,20.0,6,9,by 4 wickets,21
42,2023-04-30,10,2,212,7,20.0,10,214,4,19.3,10,10,by 6 wickets,79
43,2023-05-01,3,4,126,9,20.0,3,108,10,19.5,4,3,by 18 runs,91
44,2023-05-02,1,5,130,8,20.0,1,125,6,20.0,5,1,by 5 runs,10
45,2023-05-03,3,3,125,7,19.2,9,,,,,3,Match Abandoned Due To Rain,
46,2023-05-03,6,6,214,3,20.0,10,216,4,18.5,10,6,by 6 wickets,100
47,2023-05-04,8,7,171,9,20.0,8,166,8,20.0,7,8,by 5 runs,43
48,2023-05-05,2,2,118,10,17.5,1,119,1,13.5,1,2,by 9 wickets,7
49,2023-05-06,9,10,139,8,20.0,9,140,4,17.4,9,9,by 6 wickets,164
50,2023-05-06,5,4,181,4,20.0,5,187,3,16.4,5,5,by 7 wickets,168
51,2023-05-07,1,1,227,2,20.0,3,171,7,20.0,1,1,by 56 runs,2
52,2023-05-07,2,2,214,2,20.0,8,217,6,20.0,8,2,by 4 wickets,70
53,2023-05-08,7,6,179,7,20.0,7,182,5,20.0,7,7,by 5 wickets,38
54,2023-05-09,10,4,199,6,20.0,10,200,4,16.3,10,10,by 6 wickets,102
55,2023-05-10,9,9,167,8,20.0,5,140,8,20.0,9,9,by 27 runs,17
56,2023-05-11,7,7,149,8,20.0,2,151,1,13.1,2,7,by 9 wickets,79
57,2023-05-12,10,10,218,5,20.0,1,191,8,20.0,10,10,by 27 runs,102
58,2023-05-13,8,8,182,6,20.0,3,185,3,19.2,3,8,by 7 wickets,173
59,2023-05-13,5,6,167,7,20.0,5,136,8,20.0,6,5,by 31 runs,23
60,2023-05-14,2,4,171,5,20.0,2,59,10,10.3,4,2,by 112 runs,144
61,2023-05-14,9,9,144,6,20.0,7,147,4,18.3,7,9,by 6 wickets,37
62,2023-05-15,1,1,188,9,20.0,8,154,9,20.0,1,1,by 34 runs,2
63,2023-05-16,3,3,177,3,20.0,10,172,5,20.0,3,3,by 5 runs,49
64,2023-05-17,12,5,213,2,20.0,6,198,8,20.0,5,,by 15 runs,60
65,2023-05-18,8,8,186,5,20.0,4,187,2,19.2,4,8,by 8 wickets,90
66,2023-05-19,12,6,187,5,20.0,2,189,6,19.4,2,,by 4 wickets,81
67,2023-05-20,5,9,223,3,20.0,5,146,9,20.0,9,5,by 77 runs,13
68,2023-05-20,7,3,176,8,20.0,7,175,7,20.0,3,7,by 1 runs,46
